state,county,ev_registrations,evs_on_road,ev_share,total_stations,total_ports,level2_ports,dc_fast_ports,public_stations,evs_per_station,evs_per_port,stations_per_1000_evs,total_population,median_household_income,median_age,hispanic_pop,white_non_hispanic_pop,evs_per_1000_pop,stations_per_100k_pop,pct_hispanic,pct_white_non_hispanic,pct_nonwhite,first_station_year,median_station_year,stations_by_2018,stations_by_2020,stations_by_2022,stations_by_2024,stations_total_dated,pct_stations_post_2022,new_stations_2023_2025,station_growth_2020_2024,early_adopter_county
CO,Adams,13738,11862,0.0304,161,464,345,101,158,73.67701863354037,25.564655172413794,13.572753329961222,524408,91387,34.6,221633,242505,22.619792222849384,30.701286021570994,42.26346661378164,46.243573705969396,53.756426294030604,2010,2023,13,27,71,116,161,0.5590062111801242,89,3.2962962962962963,TRUE
CO,Alamosa,98,89,0.0062,11,24,12,12,11,8.090909090909092,3.7083333333333335,123.59550561797752,16515,51445,33.1,7900,7564,5.3890402664244625,66.60611565243718,47.83530124129579,45.800787163184985,54.199212836815015,2019,2021,0,3,6,10,11,0.45454545454545453,5,2.3333333333333335,FALSE
CO,Arapahoe,29620,23118,0.0455,194,609,486,123,181,119.16494845360825,37.960591133004925,8.391729388355394,655709,97215,37.3,138906,369965,35.25649335299653,29.58629514006976,21.184092333641903,56.42213237884488,43.57786762115512,2012,2022,18,40,99,159,192,0.484375,89,2.975,TRUE
CO,Archuleta,171,152,0.0101,6,13,11,2,6,25.333333333333332,11.692307692307692,39.473684210526315,13730,76524,52.2,2255,10611,11.070648215586308,43.69992716678806,16.423889293517842,77.28332119446468,22.716678805535324,2021,2023.5,0,0,1,5,6,0.8333333333333334,5,NA,FALSE
CO,Baca,10,9,0.0025,0,0,0,0,0,NA,NA,0,3460,40380,43,370,2891,2.601156069364162,0,10.69364161849711,83.55491329479769,16.445086705202314,NA,NA,0,0,0,0,0,NA,0,NA,FALSE
CO,Bent,11,12,0.0032999999999999995,1,1,1,0,1,12,12,83.33333333333333,5524,49194,41.7,1780,3021,2.172338884866039,18.102824040550324,32.22302679217958,54.68863142650253,45.31136857349747,2022,2022,0,0,1,1,1,0,0,NA,FALSE
CO,Boulder,27973,22102,0.08460000000000001,363,913,799,111,333,60.887052341597794,24.208105147864185,16.423853044973306,328317,102772,37.5,47948,247322,67.31908490879242,110.56387576640869,14.604178278919457,75.3302448548202,24.669755145179806,2012,2021,48,99,244,313,363,0.3278236914600551,108,2.1616161616161618,TRUE
CO,Broomfield,5390,4441,0.0681,81,183,160,23,81,54.82716049382716,24.26775956284153,18.239135329880657,75110,121025,38.8,10381,54984,59.1266142990281,107.841831979763,13.821062441752098,73.20463320463321,26.79536679536679,2020,2025,0,3,17,35,81,0.7901234567901234,62,10.666666666666666,FALSE
CO,Chaffee,451,426,0.0183,18,60,36,24,18,23.666666666666668,7.1,42.25352112676056,19876,70909,47.6,1933,16802,21.43288388005635,90.5614811833367,9.725296840410545,84.53411149124572,15.465888508754276,2015,2021,4,8,16,16,18,0.1111111111111111,2,1,TRUE
CO,Cheyenne,18,15,0.007799999999999999,1,8,0,8,1,15,1.875,66.66666666666667,1732,67768,43,219,1366,8.660508083140877,57.736720554272516,12.64434180138568,78.86836027713626,21.13163972286374,2025,2025,0,0,0,0,1,1,1,NA,FALSE
CO,Clear Creek,165,126,0.0192,16,45,13,32,15,7.875,2.8,126.98412698412697,9358,96667,49.2,708,8085,13.46441547339175,170.97670442402222,7.565719170762984,86.39666595426372,13.603334045736275,2020,2023,0,2,6,14,16,0.625,10,6,FALSE
CO,Conejos,34,32,0.0037,0,0,0,0,0,NA,NA,0,7536,47209,38.8,3773,3483,4.246284501061571,0,50.06634819532909,46.21815286624204,53.78184713375796,NA,NA,0,0,0,0,0,NA,0,NA,FALSE
CO,Costilla,38,38,0.0077,2,4,4,0,2,19,9.5,52.63157894736842,3571,36519,50.7,1985,1317,10.641276953234389,56.00672080649679,55.58667040044806,36.88042565107813,63.11957434892187,2025,2025,0,0,0,0,2,1,2,NA,FALSE
CO,Crowley,17,17,0.006,0,0,0,0,0,NA,NA,0,5734,47563,39.6,1644,3210,2.9647715381932334,0,28.67108475758633,55.98186257411929,44.01813742588071,NA,NA,0,0,0,0,0,NA,0,NA,FALSE
CO,Custer,84,76,0.011800000000000001,5,8,7,1,5,15.2,9.5,65.78947368421052,5073,72700,58.6,92,4723,14.9812734082397,98.56100926473486,1.8135225704711218,93.10072935146856,6.8992706485314415,2021,2024,0,0,2,3,5,0.6,3,NA,FALSE
CO,Delta,321,295,0.009000000000000001,13,20,13,7,12,22.692307692307693,14.75,44.06779661016949,31353,58330,48.4,4460,25243,9.408987975632314,41.46333684176953,14.225114024176314,80.51223168436832,19.487768315631683,2015,2024,3,5,5,12,13,0.6153846153846154,8,1.4,TRUE
CO,Denver,45282,31404,0.06359999999999999,450,1641,1402,202,423,69.78666666666666,19.137111517367458,14.329384791746275,713734,91681,35.2,199425,389451,43.999585279670015,63.04869881496468,27.941081691498514,54.5652862270818,45.4347137729182,2010,2022.5,49,111,223,348,446,0.5,196,2.135135135135135,TRUE
CO,Dolores,20,20,0.009000000000000001,1,1,1,0,1,20,20,50,2385,70490,57.2,296,1870,8.385744234800839,41.92872117400419,12.41090146750524,78.40670859538784,21.59329140461216,2016,2016,1,1,1,1,1,0,0,0,TRUE
